QTL_RGD_ID	SPECIES	QTL_SYMBOL	QTL_NAME	CHROMOSOME_FROM_REF	LOD	P_VALUE	VARIANCE	FLANK_1_RGD_ID	FLANK_1_SYMBOL	FLANK_2_RGD_ID	FLANK_2_SYMBOL	PEAK_RGD_ID	PEAK_MARKER_SYMBOL	TRAIT_NAME	SUBTRAIT_NAME	TRAIT_METHODOLOGY	PHENOTYPES	ASSOCIATED_DISEASES	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	CANDIDATE_GENE_RGD_IDS	CANDIDATE_GENE_SYMBOLS	INHERITANCE_TYPE	RELATED_QTLS	RATMAP_ID	3.4_MAP_POS_CHR	3.4_MAP_POS_START	3.4_MAP_POS_STOP	3.4_MAP_POS_METHOD	3.1_MAP_POS_CHR	3.1_MAP_POS_START	3.1_MAP_POS_STOP	3.1_MAP_POS_METHOD	STRAIN_RGD_IDS	STRAIN_RGD_SYMBOLS	CROSS_TYPE	CROSS_PAIR
61324	rat	Eae5	Experimental allergic encephalomyelitis QTL 5	12	13.0			11051	D12Mit2	34925	D12Rat9			Brain/spinal cord inflammation	relapsing disease	inflammation severity was assayed daily following injection with DA rat spinal cord homogenate with rats scored for degree of tail and limb paralysis on a nine point scale; relapsing disease is defined as more than one period of three-day increase in clinical score 	paresis	Multiple Sclerosis;Encephalomyelitis, Experimental Autoimmune	61031	10640775				Pia 4	44536	12	20932559	24470522	1 - by flanking markers	12	20922171	24333738	1 - by flanking markers	60997;61013	DA;E3	F2	E3 x DA
61325	rat	Aia5	Adjuvant induced arthritis QTL 5	10		0.01		61274	D10Arb20	61275	D10Arb22	10466	D10Mit1	Joint/bone inflammation	adjuvant induced	arthritis severity after adjuvant injection was measured via a cumulative scoring system for multiple joints; animals were evaluated twice a week for six weeks	joint swelling	Arthritis, Rheumatoid	625379	11953987				Cia3 and Pia5; reported to be the same as Aia3;Cia5	45641	10	24006429	110718848	2 - by one flank and peak markers	10	24007478	110733352	2 - by one flank and peak markers	61095;61114;631282	DA.F344(<i>Cia5</i>);DA/Bkl;DA.F344-(<I>D10Rat37-D10Arb22</I>)	Congenic	DA.F344 Congenic
61326	rat	Eae6	Experimental allergic encephalomyelitis QTL 6	1	5.3			34399	D1Mgh9	10951	D1Mit13	34326	D1Mgh21	Brain/spinal cord inflammation	change in body weight	experimental autoimmune encephalomyelitis severity following injection with DA rat spinal cord homogenate was assayed daily; assay consists of scoring animals for degree of tail and limb paralysis on a nine point scale with paralysis increasing from 0 to experimental autoimmune encephalomyelitis severity following injection with DA rat spinal cord homogenate was assayed daily; assay consists of scoring animals for degree of tail and limb paralysis on a nine point scale with paralysis increasing from 0 to 8; change in body weight from day 7 to 40 was determined in association with disease status	paresis	Encephalomyelitis, Experimental Autoimmune;Multiple Sclerosis	61031;629561	10640775;11817600					44537	1	176854992	217991764	2 - by one flank and peak markers	1	176994239	186621913	1 - by flanking markers	60997;61013	DA;E3	F2	E3xDA;E3 x DA
61327	rat	Eae7	Experimental allergic encephalomyelitis QTL 7	1	5.6			33903	D1Mit7	10674	D1Mgh12	10445	D1Wox25	Brain/spinal cord inflammation	change in body weight	inflammation severity was assayed daily following injection with DA rat spinal cord homogenate with animals scored for degree of tail and limb paralysis on a nine point scale with paralysis increasing from 0 to 8; change in body weight from day 7 to 40 was determined in association with disease status	paresis	Encephalomyelitis, Experimental Autoimmune;Multiple Sclerosis	61031;61039;629561	10640775;7537756;11817600					44538	1	240980142	247322277	1 - by flanking markers	1	241163531	247436752	1 - by flanking markers	60997;61013	DA;E3	F2	E3xDA;E3 x DA
61328	rat	Eae8	Experimental allergic encephalomyelitis QTL 8	19	4.0			11471	D19Mit9	34033	D19Mit5			Brain/spinal cord inflammation	acute disease	experimental autoimmune encephalomyelitis severity following injection with DA rat spinal cord homogenate was assayed daily; assay consists of scoring animals for degree of tail and limb paralysis on a nine point scale with paralysis increasing from 0 to 8; acute disease is defined as a monophasic disease pattern in the assay over time	paresis	Multiple Sclerosis;Encephalomyelitis, Experimental Autoimmune	61031	10640775					44539	19	26534810	34998604	1 - by flanking markers	19	26539634	35003485	1 - by flanking markers	60997;61013	DA;E3	F2	E3 x DA
61329	rat	Eae9	Experimental allergic encephalomyelitis QTL 9	6	3.7			34098	D6Mgh3	35821	D6Rat10			Brain/spinal cord inflammation	change in body weight	inflammation severity was assayed daily following injection with DA rat spinal cord homogenate with animals scored for degree of tail and limb paralysis on a nine point scale with paralysis increasing from 0 to 8; change in body weight from day 7 to 40 was determined in association with disease status	paresis	Encephalomyelitis, Experimental Autoimmune;Multiple Sclerosis	61031	10640775					44540	6	127683728	147636619	4 - by one flank marker only	6	127687475	147642806	4 - by one flank marker only	60997;61013	DA;E3	F2	E3 x DA
61330	rat	Eau1	Experimental allergic uveoretinitis QTL 1	4		3.0E-4		11173	D4Arb8	34001	D4Mit17	11013	D4Arb7	Uvea inflammation score			eye inflammation;abnormal uvea morphology	Uveitis	61073;2293749;2296064	10323205;18281616;18453595	3197;3834	Npy;Tcrb		Cia3, Aia3, Iddm/Lyp, Scwia1	45703	4	69183301	134858710	1 - by flanking markers	4	69459431	135103551	1 - by flanking markers	60999;70509	LEW;F344/N	F2	LEWxF344
61331	rat	Eau2	Experimental allergic uveoretinitis QTL 2	12		5.0E-4		41960	D12Arb2	61278	D12Arb5	41960	D12Arb2	Uvea inflammation score			eye inflammation;abnormal uvea morphology	Uveitis	61073;2293749;2296064	10323205;18281616;18453595				Cia12, Pia4	45704	12	1	29130348	4 - by one flank marker only	12	0	28993736	4 - by one flank marker only	60999;70509	LEW;F344/N	F2	LEWxF344
61332	rat	Eau3	Experimental allergic uveoretinitis QTL 3	10		0.004		61279	D10Arb3	33941	D10Mit11	34053	D10Mit3	Uvea inflammation score			eye inflammation;abnormal uvea morphology	Uveitis	61073;2293749;2296064	10323205;18281616;18453595	2836;3395;3645;3772;3773;3774;3877;3967;61276;69069;1594396	Hsd17b1;Prkca;Ccl2;Stat3;Stat5a;Stat5b;Tnfaip1;Vtn;Crhr1;Ccl5;Trim25		Cia5, Oia3, Carrageenan, Pia10, Aia5, Atps2		10	35713452	101848683	1 - by flanking markers	10	35714501	101863126	1 - by flanking markers	60999;70509	LEW;F344/N	F2	LEWxF344
61428	rat	Scl3	Serum cholesterol level QTL 3	7	3.2		14.0	38334	D7Rat77	36442	D7Rat20	33729	D7Mit10	Lipid level	cholesterol		decreased circulating cholesterol level	Hypercholesterolemia	61092	10634822					45714	7	95054656	132141292	1 - by flanking markers	7	95088886	132217729	1 - by flanking markers	61103;61116	WKY;SHRSP/A3	F2	SHRSP/A3 x WKY
